district,reg_voters,total_votes,total_votes_percent,valid_votes,received_station,received_station_total,candidate,candidate_votes,candidate_votes_percent
BUSIA,163571,100883,61.68,96090,284,284,KABULETA KIIZA JOSEPH,945,0.98
BUSIA,163571,100883,61.68,96090,284,284,KALEMBE NANCY LINDA,738,0.77
BUSIA,163571,100883,61.68,96090,284,284,KATUMBA JOHN,448,0.47
BUSIA,163571,100883,61.68,96090,284,284,KYAGULANYI SSENTAMU ROBERT,45166,47
BUSIA,163571,100883,61.68,96090,284,284,MAO NORBERT,305,0.32
BUSIA,163571,100883,61.68,96090,284,284,MAYAMBALA WILLY,137,0.14
BUSIA,163571,100883,61.68,96090,284,284,MUGISHA MUNTU GREGG,299,0.31
BUSIA,163571,100883,61.68,96090,284,284,MWESIGYE FRED,261,0.27
BUSIA,163571,100883,61.68,96090,284,284,TUMUKUNDE HENRY KAKURUGU,441,0.46
BUSIA,163571,100883,61.68,96090,284,284,YOWERI MUSEVENI TIBUHABURWA KAGUTA,44679,46.5
BUSIA,163571,100883,61.68,96090,284,284,Invalid Votes,4793,4.75
BUTALEJA,110737,71244,64.34,69146,204,204,AMURIAT OBOI PATRICK,641,0.93
BUTALEJA,110737,71244,64.34,69146,204,204,KABULETA KIIZA JOSEPH,351,0.51
BUTALEJA,110737,71244,64.34,69146,204,204,KALEMBE NANCY LINDA,239,0.35
BUTALEJA,110737,71244,64.34,69146,204,204,KATUMBA JOHN,200,0.29
BUTALEJA,110737,71244,64.34,69146,204,204,KYAGULANYI SSENTAMU ROBERT,29037,41.99
BUTALEJA,110737,71244,64.34,69146,204,204,MAO NORBERT,159,0.23
BUTALEJA,110737,71244,64.34,69146,204,204,MAYAMBALA WILLY,80,0.12
BUTALEJA,110737,71244,64.34,69146,204,204,MUGISHA MUNTU GREGG,147,0.21
BUTALEJA,110737,71244,64.34,69146,204,204,MWESIGYE FRED,149,0.22
BUTALEJA,110737,71244,64.34,69146,204,204,TUMUKUNDE HENRY KAKURUGU,287,0.42
BUTALEJA,110737,71244,64.34,69146,204,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA,37856,54.75
BUTALEJA,110737,71244,64.34,69146,204,204,Invalid Votes,2098,2.94
BUTAMBALA,55813,37722,67.59,36587,123,123,AMURIAT OBOI PATRICK,83,0.23
BUTAMBALA,55813,37722,67.59,36587,123,123,KABULETA KIIZA JOSEPH,22,0.06
BUTAMBALA,55813,37722,67.59,36587,123,123,KALEMBE NANCY LINDA,45,0.12
BUTAMBALA,55813,37722,67.59,36587,123,123,KATUMBA JOHN,59,0.16
BUTAMBALA,55813,37722,67.59,36587,123,123,KYAGULANYI SSENTAMU ROBERT,26806,73.27
BUTAMBALA,55813,37722,67.59,36587,123,123,MAO NORBERT,47,0.13
BUTAMBALA,55813,37722,67.59,36587,123,123,MAYAMBALA WILLY,16,0.04
BUTAMBALA,55813,37722,67.59,36587,123,123,MUGISHA MUNTU GREGG,49,0.13
BUTAMBALA,55813,37722,67.59,36587,123,123,MWESIGYE FRED,38,0.1
BUTAMBALA,55813,37722,67.59,36587,123,123,TUMUKUNDE HENRY KAKURUGU,43,0.12
BUTAMBALA,55813,37722,67.59,36587,123,123,YOWERI MUSEVENI TIBUHABURWA KAGUTA,9379,25.63
BUTAMBALA,55813,37722,67.59,36587,123,123,Invalid Votes,1135,3.01
BUTEBO,51443,36735,71.41,35823,119,119,AMURIAT OBOI PATRICK,737,2.06
BUTEBO,51443,36735,71.41,35823,119,119,KABULETA KIIZA JOSEPH,108,0.3
BUTEBO,51443,36735,71.41,35823,119,119,KALEMBE NANCY LINDA,92,0.26
BUTEBO,51443,36735,71.41,35823,119,119,KATUMBA JOHN,120,0.33
BUTEBO,51443,36735,71.41,35823,119,119,KYAGULANYI SSENTAMU ROBERT,10890,30.4
BUTEBO,51443,36735,71.41,35823,119,119,MAO NORBERT,52,0.15
BUTEBO,51443,36735,71.41,35823,119,119,MAYAMBALA WILLY,12,0.03
BUTEBO,51443,36735,71.41,35823,119,119,MUGISHA MUNTU GREGG,75,0.21
BUTEBO,51443,36735,71.41,35823,119,119,MWESIGYE FRED,91,0.25
BUTEBO,51443,36735,71.41,35823,119,119,TUMUKUNDE HENRY KAKURUGU,114,0.32
BUTEBO,51443,36735,71.41,35823,119,119,YOWERI MUSEVENI TIBUHABURWA KAGUTA,23532,65.69
BUTEBO,51443,36735,71.41,35823,119,119,Invalid Votes,912,2.48
BUVUMA,42415,21905,51.64,21057,108,108,AMURIAT OBOI PATRICK,208,0.99
BUVUMA,42415,21905,51.64,21057,108,108,KABULETA KIIZA JOSEPH,25,0.12
BUVUMA,42415,21905,51.64,21057,108,108,KALEMBE NANCY LINDA,106,0.5
BUVUMA,42415,21905,51.64,21057,108,108,KATUMBA JOHN,68,0.32
BUVUMA,42415,21905,51.64,21057,108,108,KYAGULANYI SSENTAMU ROBERT,13572,64.45
BUVUMA,42415,21905,51.64,21057,108,108,MAO NORBERT,98,0.47
BUVUMA,42415,21905,51.64,21057,108,108,MAYAMBALA WILLY,14,0.07
BUVUMA,42415,21905,51.64,21057,108,108,MUGISHA MUNTU GREGG,62,0.29
BUVUMA,42415,21905,51.64,21057,108,108,MWESIGYE FRED,43,0.2
BUVUMA,42415,21905,51.64,21057,108,108,TUMUKUNDE HENRY KAKURUGU,47,0.22
BUVUMA,42415,21905,51.64,21057,108,108,YOWERI MUSEVENI TIBUHABURWA KAGUTA,6814,32.36
BUVUMA,42415,21905,51.64,21057,108,108,Invalid Votes,848,3.87
BUYENDE,138849,84965,61.19,80831,281,281,AMURIAT OBOI PATRICK,624,0.77
BUYENDE,138849,84965,61.19,80831,281,281,KABULETA KIIZA JOSEPH,298,0.37
BUYENDE,138849,84965,61.19,80831,281,281,KALEMBE NANCY LINDA,516,0.64
BUYENDE,138849,84965,61.19,80831,281,281,KATUMBA JOHN,209,0.26
BUYENDE,138849,84965,61.19,80831,281,281,KYAGULANYI SSENTAMU ROBERT,30252,37.43
BUYENDE,138849,84965,61.19,80831,281,281,MAO NORBERT,130,0.16
BUYENDE,138849,84965,61.19,80831,281,281,MAYAMBALA WILLY,64,0.08
BUYENDE,138849,84965,61.19,80831,281,281,MUGISHA MUNTU GREGG,266,0.33
BUYENDE,138849,84965,61.19,80831,281,281,MWESIGYE FRED,163,0.2
BUYENDE,138849,84965,61.19,80831,281,281,TUMUKUNDE HENRY KAKURUGU,393,0.49
BUYENDE,138849,84965,61.19,80831,281,281,YOWERI MUSEVENI TIBUHABURWA KAGUTA,47916,59.28
BUYENDE,138849,84965,61.19,80831,281,281,Invalid Votes,4134,4.87
DOKOLO,93712,60334,64.38,58192,173,173,AMURIAT OBOI PATRICK,2542,4.37
DOKOLO,93712,60334,64.38,58192,173,173,KABULETA KIIZA JOSEPH,870,1.5
DOKOLO,93712,60334,64.38,58192,173,173,KALEMBE NANCY LINDA,222,0.38
DOKOLO,93712,60334,64.38,58192,173,173,KATUMBA JOHN,310,0.53
DOKOLO,93712,60334,64.38,58192,173,173,KYAGULANYI SSENTAMU ROBERT,15364,26.4
DOKOLO,93712,60334,64.38,58192,173,173,MAO NORBERT,420,0.72
DOKOLO,93712,60334,64.38,58192,173,173,MAYAMBALA WILLY,163,0.28
DOKOLO,93712,60334,64.38,58192,173,173,MUGISHA MUNTU GREGG,492,0.85
DOKOLO,93712,60334,64.38,58192,173,173,MWESIGYE FRED,264,0.45
DOKOLO,93712,60334,64.38,58192,173,173,TUMUKUNDE HENRY KAKURUGU,771,1.32
DOKOLO,93712,60334,64.38,58192,173,173,YOWERI MUSEVENI TIBUHABURWA KAGUTA,36774,63.19
DOKOLO,93712,60334,64.38,58192,173,173,Invalid Votes,2142,3.55
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,AMURIAT OBOI PATRICK,443,1.22
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,KABULETA KIIZA JOSEPH,208,0.57
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,KALEMBE NANCY LINDA,156,0.43
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,KATUMBA JOHN,316,0.87
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,KYAGULANYI SSENTAMU ROBERT,8440,23.22
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,MAO NORBERT,45,0.12
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,MAYAMBALA WILLY,15,0.04
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,MUGISHA MUNTU GREGG,828,2.28
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,MWESIGYE FRED,52,0.14
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,TUMUKUNDE HENRY KAKURUGU,96,0.26
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,YOWERI MUSEVENI TIBUHABURWA KAGUTA,25753,70.84
"FORT PORTAL
CITY",65163,37776,57.97,36352,122,122,Invalid Votes,1424,3.77
GOMBA,81314,55644,68.43,54080,207,208,AMURIAT OBOI PATRICK,71,0.13
GOMBA,81314,55644,68.43,54080,207,208,KABULETA KIIZA JOSEPH,33,0.06
GOMBA,81314,55644,68.43,54080,207,208,KALEMBE NANCY LINDA,43,0.08
GOMBA,81314,55644,68.43,54080,207,208,KATUMBA JOHN,71,0.13
GOMBA,81314,55644,68.43,54080,207,208,KYAGULANYI SSENTAMU ROBERT,29017,53.66
GOMBA,81314,55644,68.43,54080,207,208,MAO NORBERT,50,0.09
GOMBA,81314,55644,68.43,54080,207,208,MAYAMBALA WILLY,16,0.03
GOMBA,81314,55644,68.43,54080,207,208,MUGISHA MUNTU GREGG,76,0.14
GOMBA,81314,55644,68.43,54080,207,208,MWESIGYE FRED,46,0.09
GOMBA,81314,55644,68.43,54080,207,208,TUMUKUNDE HENRY KAKURUGU,89,0.16
GOMBA,81314,55644,68.43,54080,207,208,YOWERI MUSEVENI TIBUHABURWA KAGUTA,24568,45.43
GOMBA,81314,55644,68.43,54080,207,208,Invalid Votes,1564,2.81
GULU,45342,21894,48.29,19839,92,92,AMURIAT OBOI PATRICK,1165,5.87
GULU,45342,21894,48.29,19839,92,92,KABULETA KIIZA JOSEPH,255,1.29
GULU,45342,21894,48.29,19839,92,92,KALEMBE NANCY LINDA,171,0.86
GULU,45342,21894,48.29,19839,92,92,KATUMBA JOHN,119,0.6
GULU,45342,21894,48.29,19839,92,92,KYAGULANYI SSENTAMU ROBERT,3023,15.24
GULU,45342,21894,48.29,19839,92,92,MAO NORBERT,4011,20.22
GULU,45342,21894,48.29,19839,92,92,MAYAMBALA WILLY,598,3.01
GULU,45342,21894,48.29,19839,92,92,MUGISHA MUNTU GREGG,208,1.05
GULU,45342,21894,48.29,19839,92,92,MWESIGYE FRED,117,0.59
GULU,45342,21894,48.29,19839,92,92,TUMUKUNDE HENRY KAKURUGU,175,0.88
GULU,45342,21894,48.29,19839,92,92,YOWERI MUSEVENI TIBUHABURWA KAGUTA,9997,50.39
GULU,45342,21894,48.29,19839,92,92,Invalid Votes,2055,9.39
GULU CITY,103401,34916,33.77,32964,188,188,AMURIAT OBOI PATRICK,2159,6.55
GULU CITY,103401,34916,33.77,32964,188,188,KABULETA KIIZA JOSEPH,209,0.63
GULU CITY,103401,34916,33.77,32964,188,188,KALEMBE NANCY LINDA,231,0.7
GULU CITY,103401,34916,33.77,32964,188,188,KATUMBA JOHN,163,0.49
GULU CITY,103401,34916,33.77,32964,188,188,KYAGULANYI SSENTAMU ROBERT,7290,22.12
GULU CITY,103401,34916,33.77,32964,188,188,MAO NORBERT,7811,23.7
GULU CITY,103401,34916,33.77,32964,188,188,MAYAMBALA WILLY,47,0.14
GULU CITY,103401,34916,33.77,32964,188,188,MUGISHA MUNTU GREGG,163,0.49
GULU CITY,103401,34916,33.77,32964,188,188,MWESIGYE FRED,139,0.42
GULU CITY,103401,34916,33.77,32964,188,188,TUMUKUNDE HENRY KAKURUGU,149,0.45
GULU CITY,103401,34916,33.77,32964,188,188,YOWERI MUSEVENI TIBUHABURWA KAGUTA,14603,44.3
GULU CITY,103401,34916,33.77,32964,188,188,Invalid Votes,1952,5.59
HOIMA,90617,55703,61.47,52732,173,173,AMURIAT OBOI PATRICK,345,0.65
HOIMA,90617,55703,61.47,52732,173,173,KABULETA KIIZA JOSEPH,1896,3.6
HOIMA,90617,55703,61.47,52732,173,173,KALEMBE NANCY LINDA,142,0.27
HOIMA,90617,55703,61.47,52732,173,173,KATUMBA JOHN,114,0.22
HOIMA,90617,55703,61.47,52732,173,173,KYAGULANYI SSENTAMU ROBERT,10973,20.81
HOIMA,90617,55703,61.47,52732,173,173,MAO NORBERT,95,0.18
HOIMA,90617,55703,61.47,52732,173,173,MAYAMBALA WILLY,47,0.09
HOIMA,90617,55703,61.47,52732,173,173,MUGISHA MUNTU GREGG,304,0.58
HOIMA,90617,55703,61.47,52732,173,173,MWESIGYE FRED,231,0.44
HOIMA,90617,55703,61.47,52732,173,173,TUMUKUNDE HENRY KAKURUGU,154,0.29
HOIMA,90617,55703,61.47,52732,173,173,YOWERI MUSEVENI TIBUHABURWA KAGUTA,38431,72.88
HOIMA,90617,55703,61.47,52732,173,173,Invalid Votes,2971,5.33
HOIMA CITY,62018,36059,58.14,34609,112,112,AMURIAT OBOI PATRICK,292,0.84
HOIMA CITY,62018,36059,58.14,34609,112,112,KABULETA KIIZA JOSEPH,2285,6.6
HOIMA CITY,62018,36059,58.14,34609,112,112,KALEMBE NANCY LINDA,69,0.2
HOIMA CITY,62018,36059,58.14,34609,112,112,KATUMBA JOHN,109,0.31
HOIMA CITY,62018,36059,58.14,34609,112,112,KYAGULANYI SSENTAMU ROBERT,11662,33.7
HOIMA CITY,62018,36059,58.14,34609,112,112,MAO NORBERT,51,0.15
HOIMA CITY,62018,36059,58.14,34609,112,112,MAYAMBALA WILLY,14,0.04
HOIMA CITY,62018,36059,58.14,34609,112,112,MUGISHA MUNTU GREGG,261,0.75
HOIMA CITY,62018,36059,58.14,34609,112,112,MWESIGYE FRED,32,0.09
HOIMA CITY,62018,36059,58.14,34609,112,112,TUMUKUNDE HENRY KAKURUGU,83,0.24
HOIMA CITY,62018,36059,58.14,34609,112,112,YOWERI MUSEVENI TIBUHABURWA KAGUTA,19751,57.07
HOIMA CITY,62018,36059,58.14,34609,112,112,Invalid Votes,1450,4.02
IBANDA,140486,90801,64.63,88759,280,280,AMURIAT OBOI PATRICK,958,1.08
IBANDA,140486,90801,64.63,88759,280,280,KABULETA KIIZA JOSEPH,136,0.15
IBANDA,140486,90801,64.63,88759,280,280,KALEMBE NANCY LINDA,134,0.15
IBANDA,140486,90801,64.63,88759,280,280,KATUMBA JOHN,353,0.4
IBANDA,140486,90801,64.63,88759,280,280,KYAGULANYI SSENTAMU ROBERT,7702,8.68
IBANDA,140486,90801,64.63,88759,280,280,MAO NORBERT,159,0.18
IBANDA,140486,90801,64.63,88759,280,280,MAYAMBALA WILLY,40,0.05
IBANDA,140486,90801,64.63,88759,280,280,MUGISHA MUNTU GREGG,1419,1.6
IBANDA,140486,90801,64.63,88759,280,280,MWESIGYE FRED,97,0.11
IBANDA,140486,90801,64.63,88759,280,280,TUMUKUNDE HENRY KAKURUGU,240,0.27
IBANDA,140486,90801,64.63,88759,280,280,YOWERI MUSEVENI TIBUHABURWA KAGUTA,77521,87.34
IBANDA,140486,90801,64.63,88759,280,280,Invalid Votes,2042,2.25
IGANGA,186519,97320,52.18,93952,323,323,AMURIAT OBOI PATRICK,849,0.9
IGANGA,186519,97320,52.18,93952,323,323,KABULETA KIIZA JOSEPH,123,0.13
IGANGA,186519,97320,52.18,93952,323,323,KALEMBE NANCY LINDA,1284,1.37
IGANGA,186519,97320,52.18,93952,323,323,KATUMBA JOHN,269,0.29
IGANGA,186519,97320,52.18,93952,323,323,KYAGULANYI SSENTAMU ROBERT,54712,58.23
IGANGA,186519,97320,52.18,93952,323,323,MAO NORBERT,288,0.31
IGANGA,186519,97320,52.18,93952,323,323,MAYAMBALA WILLY,64,0.07
IGANGA,186519,97320,52.18,93952,323,323,MUGISHA MUNTU GREGG,241,0.26
IGANGA,186519,97320,52.18,93952,323,323,MWESIGYE FRED,128,0.14
IGANGA,186519,97320,52.18,93952,323,323,TUMUKUNDE HENRY KAKURUGU,334,0.36
IGANGA,186519,97320,52.18,93952,323,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA,35660,37.96
IGANGA,186519,97320,52.18,93952,323,323,Invalid Votes,3368,3.46
ISINGIRO,233099,203130,87.14,200720,508,509,AMURIAT OBOI PATRICK,1351,0.67
ISINGIRO,233099,203130,87.14,200720,508,509,KABULETA KIIZA JOSEPH,132,0.07
ISINGIRO,233099,203130,87.14,200720,508,509,KALEMBE NANCY LINDA,108,0.05
ISINGIRO,233099,203130,87.14,200720,508,509,KATUMBA JOHN,313,0.16
ISINGIRO,233099,203130,87.14,200720,508,509,KYAGULANYI SSENTAMU ROBERT,8769,4.37
ISINGIRO,233099,203130,87.14,200720,508,509,MAO NORBERT,129,0.06
ISINGIRO,233099,203130,87.14,200720,508,509,MAYAMBALA WILLY,30,0.01
ISINGIRO,233099,203130,87.14,200720,508,509,MUGISHA MUNTU GREGG,845,0.42
ISINGIRO,233099,203130,87.14,200720,508,509,MWESIGYE FRED,206,0.1
ISINGIRO,233099,203130,87.14,200720,508,509,TUMUKUNDE HENRY KAKURUGU,228,0.11
ISINGIRO,233099,203130,87.14,200720,508,509,YOWERI MUSEVENI TIBUHABURWA KAGUTA,188609,93.97
ISINGIRO,233099,203130,87.14,200720,508,509,Invalid Votes,2410,1.19
JINJA,120278,65476,54.44,62361,227,229,AMURIAT OBOI PATRICK,1113,1.78
JINJA,120278,65476,54.44,62361,227,229,KABULETA KIIZA JOSEPH,163,0.26
JINJA,120278,65476,54.44,62361,227,229,KALEMBE NANCY LINDA,530,0.85
JINJA,120278,65476,54.44,62361,227,229,KATUMBA JOHN,177,0.28
JINJA,120278,65476,54.44,62361,227,229,KYAGULANYI SSENTAMU ROBERT,36847,59.09
JINJA,120278,65476,54.44,62361,227,229,MAO NORBERT,124,0.2
JINJA,120278,65476,54.44,62361,227,229,MAYAMBALA WILLY,28,0.04
JINJA,120278,65476,54.44,62361,227,229,MUGISHA MUNTU GREGG,165,0.26
JINJA,120278,65476,54.44,62361,227,229,MWESIGYE FRED,91,0.15
JINJA,120278,65476,54.44,62361,227,229,TUMUKUNDE HENRY KAKURUGU,118,0.19
JINJA,120278,65476,54.44,62361,227,229,YOWERI MUSEVENI TIBUHABURWA KAGUTA,23005,36.89
JINJA,120278,65476,54.44,62361,227,229,Invalid Votes,3115,4.76
JINJA CITY,154750,71045,45.91,68295,256,259,AMURIAT OBOI PATRICK,1512,2.21
JINJA CITY,154750,71045,45.91,68295,256,259,KABULETA KIIZA JOSEPH,133,0.19
JINJA CITY,154750,71045,45.91,68295,256,259,KALEMBE NANCY LINDA,694,1.02
JINJA CITY,154750,71045,45.91,68295,256,259,KATUMBA JOHN,221,0.32
JINJA CITY,154750,71045,45.91,68295,256,259,KYAGULANYI SSENTAMU ROBERT,43920,64.31
JINJA CITY,154750,71045,45.91,68295,256,259,MAO NORBERT,173,0.25
JINJA CITY,154750,71045,45.91,68295,256,259,MAYAMBALA WILLY,36,0.05
JINJA CITY,154750,71045,45.91,68295,256,259,MUGISHA MUNTU GREGG,276,0.4
JINJA CITY,154750,71045,45.91,68295,256,259,MWESIGYE FRED,43,0.06
JINJA CITY,154750,71045,45.91,68295,256,259,TUMUKUNDE HENRY KAKURUGU,85,0.12
JINJA CITY,154750,71045,45.91,68295,256,259,YOWERI MUSEVENI TIBUHABURWA KAGUTA,21202,31.04
JINJA CITY,154750,71045,45.91,68295,256,259,Invalid Votes,2750,3.87
KAABONG,41211,33005,80.09,29784,136,136,AMURIAT OBOI PATRICK,318,1.07
KAABONG,41211,33005,80.09,29784,136,136,KABULETA KIIZA JOSEPH,75,0.25
KAABONG,41211,33005,80.09,29784,136,136,KALEMBE NANCY LINDA,74,0.25
KAABONG,41211,33005,80.09,29784,136,136,KATUMBA JOHN,61,0.2
KAABONG,41211,33005,80.09,29784,136,136,KYAGULANYI SSENTAMU ROBERT,1218,4.09
KAABONG,41211,33005,80.09,29784,136,136,MAO NORBERT,140,0.47
KAABONG,41211,33005,80.09,29784,136,136,MAYAMBALA WILLY,659,2.21
KAABONG,41211,33005,80.09,29784,136,136,MUGISHA MUNTU GREGG,145,0.49
KAABONG,41211,33005,80.09,29784,136,136,MWESIGYE FRED,146,0.49
KAABONG,41211,33005,80.09,29784,136,136,TUMUKUNDE HENRY KAKURUGU,848,2.85
KAABONG,41211,33005,80.09,29784,136,136,YOWERI MUSEVENI TIBUHABURWA KAGUTA,26100,87.63
KAABONG,41211,33005,80.09,29784,136,136,Invalid Votes,3221,9.76
KABALE,136559,91024,66.66,88777,256,256,AMURIAT OBOI PATRICK,2716,3.06
KABALE,136559,91024,66.66,88777,256,256,KABULETA KIIZA JOSEPH,109,0.12
KABALE,136559,91024,66.66,88777,256,256,KALEMBE NANCY LINDA,338,0.38
KABALE,136559,91024,66.66,88777,256,256,KATUMBA JOHN,696,0.78
KABALE,136559,91024,66.66,88777,256,256,KYAGULANYI SSENTAMU ROBERT,8168,9.2
KABALE,136559,91024,66.66,88777,256,256,MAO NORBERT,130,0.15
KABALE,136559,91024,66.66,88777,256,256,MAYAMBALA WILLY,44,0.05
KABALE,136559,91024,66.66,88777,256,256,MUGISHA MUNTU GREGG,993,1.12
KABALE,136559,91024,66.66,88777,256,256,MWESIGYE FRED,128,0.14
KABALE,136559,91024,66.66,88777,256,256,TUMUKUNDE HENRY KAKURUGU,423,0.48
KABALE,136559,91024,66.66,88777,256,256,YOWERI MUSEVENI TIBUHABURWA KAGUTA,75032,84.52
KABALE,136559,91024,66.66,88777,256,256,Invalid Votes,2247,2.47
KABAROLE,107428,65479,60.95,62223,207,207,AMURIAT OBOI PATRICK,477,0.77
KABAROLE,107428,65479,60.95,62223,207,207,KABULETA KIIZA JOSEPH,144,0.23
KABAROLE,107428,65479,60.95,62223,207,207,KALEMBE NANCY LINDA,125,0.2
KABAROLE,107428,65479,60.95,62223,207,207,KATUMBA JOHN,198,0.32
KABAROLE,107428,65479,60.95,62223,207,207,KYAGULANYI SSENTAMU ROBERT,9963,16.01
KABAROLE,107428,65479,60.95,62223,207,207,MAO NORBERT,109,0.18
KABAROLE,107428,65479,60.95,62223,207,207,MAYAMBALA WILLY,50,0.08
KABAROLE,107428,65479,60.95,62223,207,207,MUGISHA MUNTU GREGG,606,0.97
KABAROLE,107428,65479,60.95,62223,207,207,MWESIGYE FRED,227,0.36
KABAROLE,107428,65479,60.95,62223,207,207,TUMUKUNDE HENRY KAKURUGU,266,0.43
KABAROLE,107428,65479,60.95,62223,207,207,YOWERI MUSEVENI TIBUHABURWA KAGUTA,50058,80.45
KABAROLE,107428,65479,60.95,62223,207,207,Invalid Votes,3256,4.97
KABERAMAIDO,52210,34278,65.65,32822,95,95,AMURIAT OBOI PATRICK,3378,10.29
KABERAMAIDO,52210,34278,65.65,32822,95,95,KABULETA KIIZA JOSEPH,228,0.69
KABERAMAIDO,52210,34278,65.65,32822,95,95,KALEMBE NANCY LINDA,180,0.55
KABERAMAIDO,52210,34278,65.65,32822,95,95,KATUMBA JOHN,156,0.48
KABERAMAIDO,52210,34278,65.65,32822,95,95,KYAGULANYI SSENTAMU ROBERT,9058,27.6
KABERAMAIDO,52210,34278,65.65,32822,95,95,MAO NORBERT,196,0.6
KABERAMAIDO,52210,34278,65.65,32822,95,95,MAYAMBALA WILLY,201,0.61
KABERAMAIDO,52210,34278,65.65,32822,95,95,MUGISHA MUNTU GREGG,294,0.9
KABERAMAIDO,52210,34278,65.65,32822,95,95,MWESIGYE FRED,244,0.74
KABERAMAIDO,52210,34278,65.65,32822,95,95,TUMUKUNDE HENRY KAKURUGU,298,0.91
KABERAMAIDO,52210,34278,65.65,32822,95,95,YOWERI MUSEVENI TIBUHABURWA KAGUTA,18589,56.64
KABERAMAIDO,52210,34278,65.65,32822,95,95,Invalid Votes,1456,4.25
KAGADI,175680,113651,64.69,108614,404,404,AMURIAT OBOI PATRICK,840,0.77
KAGADI,175680,113651,64.69,108614,404,404,KABULETA KIIZA JOSEPH,1129,1.04
KAGADI,175680,113651,64.69,108614,404,404,KALEMBE NANCY LINDA,181,0.17
KAGADI,175680,113651,64.69,108614,404,404,KATUMBA JOHN,265,0.24
KAGADI,175680,113651,64.69,108614,404,404,KYAGULANYI SSENTAMU ROBERT,15758,14.51
KAGADI,175680,113651,64.69,108614,404,404,MAO NORBERT,105,0.1
KAGADI,175680,113651,64.69,108614,404,404,MAYAMBALA WILLY,51,0.05
KAGADI,175680,113651,64.69,108614,404,404,MUGISHA MUNTU GREGG,442,0.41
KAGADI,175680,113651,64.69,108614,404,404,MWESIGYE FRED,614,0.57
KAGADI,175680,113651,64.69,108614,404,404,TUMUKUNDE HENRY KAKURUGU,399,0.37
KAGADI,175680,113651,64.69,108614,404,404,YOWERI MUSEVENI TIBUHABURWA KAGUTA,88830,81.79
KAGADI,175680,113651,64.69,108614,404,404,Invalid Votes,5037,4.43
KAKUMIRO,140691,89447,63.58,86100,317,317,AMURIAT OBOI PATRICK,305,0.35
KAKUMIRO,140691,89447,63.58,86100,317,317,KABULETA KIIZA JOSEPH,690,0.8
KAKUMIRO,140691,89447,63.58,86100,317,317,KALEMBE NANCY LINDA,89,0.1
KAKUMIRO,140691,89447,63.58,86100,317,317,KATUMBA JOHN,166,0.19
KAKUMIRO,140691,89447,63.58,86100,317,317,KYAGULANYI SSENTAMU ROBERT,10903,12.66
KAKUMIRO,140691,89447,63.58,86100,317,317,MAO NORBERT,77,0.09
KAKUMIRO,140691,89447,63.58,86100,317,317,MAYAMBALA WILLY,30,0.03
KAKUMIRO,140691,89447,63.58,86100,317,317,MUGISHA MUNTU GREGG,304,0.35
KAKUMIRO,140691,89447,63.58,86100,317,317,MWESIGYE FRED,83,0.1
KAKUMIRO,140691,89447,63.58,86100,317,317,TUMUKUNDE HENRY KAKURUGU,321,0.37
KAKUMIRO,140691,89447,63.58,86100,317,317,YOWERI MUSEVENI TIBUHABURWA KAGUTA,73132,84.94
KAKUMIRO,140691,89447,63.58,86100,317,317,Invalid Votes,3347,3.74
KALAKI,53973,35978,66.66,34415,103,103,AMURIAT OBOI PATRICK,4794,13.93
KALAKI,53973,35978,66.66,34415,103,103,KABULETA KIIZA JOSEPH,195,0.57
KALAKI,53973,35978,66.66,34415,103,103,KALEMBE NANCY LINDA,193,0.56
KALAKI,53973,35978,66.66,34415,103,103,KATUMBA JOHN,81,0.24
KALAKI,53973,35978,66.66,34415,103,103,KYAGULANYI SSENTAMU ROBERT,3839,11.16
KALAKI,53973,35978,66.66,34415,103,103,MAO NORBERT,136,0.4
KALAKI,53973,35978,66.66,34415,103,103,MAYAMBALA WILLY,287,0.83
KALAKI,53973,35978,66.66,34415,103,103,MUGISHA MUNTU GREGG,121,0.35
KALAKI,53973,35978,66.66,34415,103,103,MWESIGYE FRED,73,0.21
KALAKI,53973,35978,66.66,34415,103,103,TUMUKUNDE HENRY KAKURUGU,140,0.41
KALAKI,53973,35978,66.66,34415,103,103,YOWERI MUSEVENI TIBUHABURWA KAGUTA,24556,71.35
KALAKI,53973,35978,66.66,34415,103,103,Invalid Votes,1563,4.34
KALANGALA,35465,19741,55.66,18741,90,90,AMURIAT OBOI PATRICK,95,0.51
KALANGALA,35465,19741,55.66,18741,90,90,KABULETA KIIZA JOSEPH,13,0.07
KALANGALA,35465,19741,55.66,18741,90,90,KALEMBE NANCY LINDA,28,0.15
KALANGALA,35465,19741,55.66,18741,90,90,KATUMBA JOHN,78,0.42
